#fedd00,yellow-c
#ffd700,yellow-012-c
#fe5000,orange-021-c
#f9423a,warm-red-c
#ef3340,red-032-c
#ce0058,rubine-red-c
#e10098,rhodamine-red-c
#bb29bb,purple-c
#440099,violet-c
#10069f,blue-072-c
#001489,reflex-blue-c
#0085ca,process-blue-c
#00ab84,green-c
#2d2926,black-c
#f2f0a1,yellow-0131-c
#fcaebb,red-0331-c
#f1b2dc,magenta-0521-c
#bf9bde,violet-0631-c
#74d1ea,blue-0821-c
#9de7d7,green-0921-c
#9e978e,black-0961-c
#009ace,801-c
#44d62c,802-c
#ffe900,803-c
#ffaa4d,804-c
#ff7276,805-c
#ff3eb5,806-c
#ea27c2,807-c
#84754e,871-c
#85714d,872-c
#866d4b,873-c
#8b6f4e,874-c
#87674f,875-c
#8b634b,876-c
#8a8d8f,877-c
#ffd900,medium-yellow-c
#ff5e00,bright-orange-c
#f93822,bright-red-c
#ce0056,strong-red-c
#d62598,pink-c
#4e008e,medium-purple-c
#00239c,dark-blue-c
#0084ca,medium-blue-c
#00b08b,bright-green-c
#222223,neutral-black-c
#f6eb61,100-c
#f7ea48,101-c
#fce300,102-c
#c5a900,103-c
#af9800,104-c
#897a27,105-c
#f5e1a4,7401-c
#ecd898,7402-c
#eed484,7403-c
#f4da40,7404-c
#f2cd00,7405-c
#f1c400,7406-c
#cba052,7407-c
#f9e547,106-c
#fbe122,107-c
#fedb00,108-c
#ffd100,109-c
#daaa00,110-c
#aa8a00,111-c
#9c8412,112-c
#fae053,113-c
#fbdd40,114-c
#fdda24,115-c
#ffcd00,116-c
#c99700,117-c
#ac8400,118-c
#897322,119-c
#f3dd6d,127-c
#f3d54e,128-c
#f3d03e,129-c
#f2a900,130-c
#cc8a00,131-c
#a07400,132-c
#6c571b,133-c
#f8e08e,1205-c
#fbd872,1215-c
#ffc845,1225-c
#ffb81c,1235-c
#c69214,1245-c
#ad841f,1255-c
#886b25,1265-c
#fbdb65,120-c
#fdd757,121-c
#fed141,122-c
#ffc72c,123-c
#eaaa00,124-c
#b58500,125-c
#9a7611,126-c
#ffc600,7548-c
#ffb500,7549-c
#d19000,7550-c
#b47e00,7551-c
#73531d,7552-c
#5a4522,7553-c
#4b3d2a,7554-c
#d29f13,7555-c
#b78b20,7556-c
#9f7d23,7557-c
#967126,7558-c
#8f6a2a,7559-c
#7d622e,7560-c
#6c5d34,7561-c
#fdd26e,134-c
#ffc658,135-c
#ffbf3f,136-c
#ffa300,137-c
#de7c00,138-c
#af6d04,139-c
#74531c,140-c
#fdd086,1345-c
#ffc56e,1355-c
#ffb549,1365-c
#ff9e1b,1375-c
#d57800,1385-c
#996017,1395-c
#6e4c1e,1405-c
#f2c75c,141-c
#f1be48,142-c
#f1b434,143-c
#ed8b00,144-c
#cf7f00,145-c
#a76d11,146-c
#715c2a,147-c
#f6be00,7408-c
#f0b323,7409-c
#fead77,7410-c
#e6a65d,7411-c
#d38235,7412-c
#dc8633,7413-c
#c16c18,7414-c
#bd9b60,7562-c
#d69a2d,7563-c
#db8a06,7564-c
#cd7925,7565-c
#ad6433,7566-c
#89532f,7567-c
#775135,7568-c
#d78825,7569-c
#d3832b,7570-c
#c67d30,7571-c
#b67233,7572-c
#a7662b,7573-c
#9e6a38,7574-c
#835d32,7575-c
#fcc89b,712-c
#fdbe87,713-c
#fdaa63,714-c
#f68d2e,715-c
#ea7600,716-c
#d45d00,717-c
#be4d00,718-c
#fecb8b,148-c
#ffc27b,149-c
#ffb25b,150-c
#ff8200,151-c
#e57200,152-c
#be6a14,153-c
#9b5a1a,154-c
#efd19f,155-c
#efbe7d,156-c
#eca154,157-c
#e87722,158-c
#cb6015,159-c
#a1561c,160-c
#603d20,161-c
#ffae62,1485-c
#ff8f1c,1495-c
#ff6900,1505-c
#b94700,1525-c
#94450b,1535-c
#653819,1545-c
#ffb990,1555-c
#ffa06a,1565-c
#ff7f32,1575-c
#ff6a13,1585-c
#d86018,1595-c
#a65523,1605-c
#8b4720,1615-c
#ffbe9f,162-c
#ff9d6e,163-c
#ff7f41,164-c
#ff671f,165-c
#e35205,166-c
#be531c,167-c
#73381d,168-c
#db864e,7576-c
#e07e3c,7577-c
#dc6b2f,7578-c
#dc582a,7579-c
#c05131,7580-c
#864a33,7581-c
#674736,7582-c
#ffa38b,1625-c
#ff8d6d,1635-c
#ff6a39,1645-c
#fc4c02,1655-c
#dc4405,1665-c
#a9431e,1675-c
#833921,1685-c
#ffb3ab,169-c
#ff8674,170-c
#ff5c39,171-c
#fa4616,172-c
#cf4520,173-c
#963821,174-c
#6b3529,175-c
#c4622d,7583-c
#ba5826,7584-c
#af5c37,7585-c
#9e5330,7586-c
#924c2e,7587-c
#7b4d35,7588-c
#5c4738,7589-c
#d4b59e,7590-c
#c07d59,7591-c
#b15533,7592-c
#9d432c,7593-c
#7c3a2d,7594-c
#6b3d2e,7595-c
#5c3d31,7596-c
#d14124,7597-c
#bd472a,7598-c
#b33d26,7599-c
#8d3f2b,7600-c
#83412c,7601-c
#7b4931,7602-c
#674230,7603-c
#e4d5d3,7604-c
#e1bbb4,7605-c
#d6938a,7606-c
#c26e60,7607-c
#a4493d,7608-c
#823b34,7609-c
#683431,7610-c
#ddbcb0,7611-c
#ca9a8e,7612-c
#bc8a7e,7613-c
#a37f74,7614-c
#866761,7615-c
#6b4c4c,7616-c
#583d3e,7617-c
#eabeb0,7520-c
#c09c83,7521-c
#b46a55,7522-c
#ab5c57,7523-c
#a45248,7524-c
#9a6a4f,7525-c
#8a391b,7526-c
#ecc3b2,489-c
#ecbaa8,488-c
#eaa794,487-c
#e8927c,486-c
#da291c,485-c
#9a3324,484-c
#653024,483-c
#ffb1bb,176-c
#ff808b,177-c
